x,y,class
-8.626604,17.68302,0
-8.602144,18.38368,0
-8.46929,17.66715,0
-8.537421,17.708363,0
-9.722925,18.490942,0
2.694631,22.886686,1
-9.148258,17.502234,0
-9.417697,17.777946,0
-9.628228,17.573738,0
-9.26072,17.663874,0
-9.727282,17.752497,0
-8.605882,18.042946,0
2.8161447,22.719067,1
-9.510896,17.407307,0
-9.805252,17.615826,0
2.536532,22.732119,1
-9.623147,17.515398,0
-9.524991,17.43008,0
-8.455554,17.675922,0
-9.513045,17.53214,0
-9.614513,17.527191,0
-9.760261,17.546059,0
-9.644812,17.420677,0
-9.608937,17.436085,0
-8.524166,17.614927,0
-8.846211,17.497211,0
-8.629186,17.546734,0
1.9859623,22.66878,1
-8.647741,17.544975,0
-9.677661,17.486135,0
-8.481689,17.633724,0
1.7344342,22.98897,1
1.1137052,23.479248,1
0.1792183,22.32217,1
1.6802837,24.022911,1
1.1183728,23.35505,1
2.239951,23.355251,1
1.2434329,23.557877,1
1.985762,23.821463,1
1.4490303,23.8613,1
0.5902205,22.902702,1
1.6662806,23.467176,1
1.1915989,23.43657,1
1.7865047,24.045574,1
2.8310618,23.42242,1
2.437434,23.324156,1
1.0143665,23.315325,1
2.2826717,23.366848,1
1.3813534,23.204355,1
1.3039323,23.647888,1
2.3801658,23.816927,1
1.103389,23.402367,1
1.185055,23.594954,1
0.36867797,22.414343,1
2.09242,23.652706,1
0.20379747,22.495098,1
1.6868842,22.728405,1
1.4236025,23.650433,1
2.086896,23.15267,1
1.280315,23.656462,1
2.9920957,23.386251,1
2.005943,23.481478,1
1.0789015,23.420626,1
0.9810113,23.24971,1
1.7779562,23.65457,1
2.7827184,23.306364,1
1.6991687,22.665426,1
1.4384776,23.799816,1
0.03999142,22.304543,1
2.8632164,23.455555,1
2.0396311,23.552069,1
1.2236315,23.604017,1
2.0804682,23.906952,1
1.2356195,23.607903,1
1.084286,23.369347,1
1.7799251,24.085659,1
1.6049591,24.033424,1
1.1702691,23.61125,1
1.5732262,24.010326,1
2.8295743,22.945517,1
1.4230657,23.491198,1
1.6987547,23.348175,1
0.8006762,22.367,1
0.08227715,22.264046,1
2.67835,23.691746,1
1.3894901,23.136961,1
2.510492,23.159443,1
0.39061707,22.636114,1
2.1489859,22.960062,1
2.010194,24.061354,1
2.4356265,23.352179,1
1.5918957,24.041273,1
2.9189336,23.006607,1
2.1702325,23.879314,1
2.2104888,23.435436,1
2.0551827,22.85127,1
0.41135934,22.711308,1
2.4903893,23.795332,1
0.22349416,22.265726,1
1.9877504,24.042244,1
2.844236,23.389555,1
2.0282319,23.700626,1
2.2032561,23.857237,1
0.057317097,22.275995,1
2.0311108,22.669737,1
1.7344413,23.69478,1
1.2098242,23.398792,1
2.3619456,23.949242,1
1.6869869,23.994602,1
2.2122552,23.080421,1
0.39348012,22.678617,1
2.3636909,23.647068,1
1.7639005,23.898668,1
3.0049202,23.315113,1
2.4445143,23.43089,1
2.270174,23.906233,1
1.5142686,23.086443,1
2.2134268,23.304943,1
1.756535,23.996876,1
1.107252,23.36379,1
2.3335524,23.371868,1
2.5020642,23.89514,1
1.7750546,23.74028,1
2.4460535,23.965809,1
2.521226,23.861387,1
2.1770983,23.883593,1
1.0768846,23.50512,1
0.28668147,22.428274,1
2.3271852,23.18967,1
0.40223274,22.73314,1
2.1156526,22.996546,1
0.22097215,22.474524,1
2.288545,23.85727,1
1.980892,23.202763,1
2.155167,23.407526,1
2.022402,23.300737,1
2.733104,23.507956,1
1.7910703,24.041018,1
2.6290731,23.599018,1
2.1394563,22.971388,1
