,Best approach,Silhouette Coefficient,Calinski-Harabasz,Davies-Bouldin,Dunn-Index,Composite Score
39-features-Undara-DryB-20min-full-day_n_neighbors_20_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.6068607,1852.615188553831,0.3884786247305561,0.5927736849450292,3.999999999380048
39-features-Wambiana-WetA-20min-full-day_n_neighbors_5_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.66615456,8040.978622289307,0.3225532383012106,0.2596707859116283,3.909837622890943
39-features-Wambiana-WetA-20min-full-day_n_neighbors_5_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.6512556,5641.049021622873,0.3603113656011437,0.1720662885139339,3.999999998411937
39-features-Wambiana-WetA-20min-full-day_n_neighbors_5_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.6529301,5136.760743915236,0.5615613732545222,0.14787556739567395,3.898920850041951
39-features-Wambiana-WetA-20min-full-day_n_neighbors_5_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.61051196,3558.791478102855,0.47737976155993966,0.10166409941552125,3.704329956812663
39-features-Wambiana-WetA-20min-full-day_n_neighbors_10_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.7936205,16438.295714329946,0.24795765181913787,0.39716003607710615,3.9999999991634265
39-features-Wambiana-WetA-20min-full-day_n_neighbors_10_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.7763966,12984.436351786437,0.27952724635875353,0.24812711603972767,3.9999999986704657
39-features-Wambiana-WetA-20min-full-day_n_neighbors_10_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.7161457,9206.198507263818,0.3892115636392862,0.3132389887449216,3.641343790204445
39-features-Wambiana-WetA-20min-full-day_n_neighbors_10_min_dist_0.4,"min_cluster_size=5, min_samples=2",0.6947287,9020.378221574396,0.37621159591605785,0.04233384085349148,3.6978730887914626
39-features-Wambiana-WetA-20min-full-day_n_neighbors_15_min_dist_0.1,"min_cluster_size=5, min_samples=2",0.8335791,22807.349656218357,0.22722620405752672,0.28905247959327257,3.999999999023234
39-features-Wambiana-WetA-20min-full-day_n_neighbors_15_min_dist_0.2,"min_cluster_size=5, min_samples=2",0.7961051,17389.416905013168,0.26684883566496553,0.13646113856647357,3.99999999809478
39-features-Wambiana-WetA-20min-full-day_n_neighbors_15_min_dist_0.3,"min_cluster_size=5, min_samples=2",0.7455033,9763.612999076995,0.3521542580653625,0.20437031496903593,3.6204665504314355
